time,voltage,current
1610889198579,3787000,1402
1610889198987,3787000,1469
1610889199030,3787000,1663
1610889199432,3787000,1396
1610889199462,3787000,1396
1610889199731,3787000,1407
1610889199767,3787000,1407
1610889200109,3787000,1495
1610889200193,3787000,1495
1610889200467,3787000,1342
1610889206207,3787000,651
1610889206419,3743000,1522
1610889206651,3743000,1515
1610889207386,3743000,1375
1610889207596,3725000,1467
1610889207842,3725000,1465
1610889208012,3725000,1220
1610889208307,3725000,1470
1610889208408,3725000,1470
1610889208615,3725000,1456
1610889208834,3725000,1429
1610889211139,3725000,1044
1610889211433,3802000,1412
1610889211654,3802000,1367
1610889211883,3802000,1766
1610889211978,3802000,1371
1610889212202,3802000,1637
1610889212320,3802000,1425
1610889212675,3802000,1691
1610889212717,3802000,1691
1610889213084,3802000,1539
1610889213109,3802000,1539
1610889213344,3802000,1377
1610889213486,3802000,1633
1610889213714,3802000,1437
1610889213928,3802000,1357
1610889214239,3802000,1450
1610889214299,3802000,1374
1610889214624,3802000,1429
1610889214639,3802000,1429
1610889215048,3802000,1561
1610889215075,3802000,1561
1610889215436,3802000,1571
1610889215545,3802000,929
1610889215912,3802000,1419
1610889216017,3802000,1333
1610889216234,3802000,1447
1610889216354,3802000,1447
1610889216698,3802000,1534
1610889216705,3802000,1534
1610889217111,3802000,1368
1610889217131,3802000,1368
1610889217478,3802000,1526
1610889217576,3802000,1526
1610889218455,3719000,1573
1610889218619,3719000,1117
1610889218847,3719000,1636
1610889219161,3719000,1433
1610889219223,3719000,1750
1610889219556,3719000,1622
1610889219654,3719000,1622
1610889219945,3719000,1514
1610889219998,3719000,1514
1610889220322,3719000,1408
1610889220437,3719000,1408
1610889220624,3719000,1436
1610889220908,3719000,1564
1610889221093,3719000,1295
1610889225330,3766000,1299
1610889225509,3766000,1291
1610889225665,3766000,1291
1610889225848,3766000,1530
1610889226074,3766000,1387
1610889226349,3766000,1484
1610889226537,3766000,1815
1610889226763,3766000,1592
1610889226939,3766000,1120
1610889227451,3766000,740
1610889227549,3766000,740
1610889227842,3765000,1561
1610889228017,3765000,1530
1610889228324,3765000,1485
1610889228390,3765000,1485
1610889228756,3765000,1307
1610889228820,3765000,1307
1610889229083,3765000,1630
1610889229223,3765000,1624
1610889229555,3765000,1726
1610889229646,3765000,1726
1610889229983,3765000,2236
1610889230111,3765000,1832
1610889230279,3765000,1785
1610889230446,3765000,1648
1610889230798,3765000,1370
1610889230888,3765000,1370
1610889231174,3765000,1401
1610889231362,3765000,1558
1610889231618,3765000,1769
1610889231785,3765000,1426
1610889232004,3765000,1610
1610889232231,3765000,1593
1610889232386,3765000,1588
1610889232570,3765000,1484
1610889232728,3765000,1515
1610889233009,3765000,1809
1610889233053,3765000,1809
1610889233408,3765000,1749
1610889233452,3765000,1637
1610889233926,3765000,1328
1610889233956,3765000,1357
1610889234219,3765000,1526
1610889234254,3765000,1526
1610889234642,3765000,1838
1610889234718,3765000,1500
1610889242139,3765000,1078
1610889242168,3765000,1078
1610889242650,3758000,1348
1610889242688,3758000,1348
1610889243040,3758000,1341
1610889243040,3758000,1341
1610889243432,3758000,1334
1610889243538,3758000,1558
1610889243898,3758000,1511
1610889243895,3758000,1511
1610889259090,3758000,414
1610889259097,3758000,414
1610889260210,3776000,529
1610889260233,3776000,529
1610889260604,3778000,866
1610889260762,3778000,1077
1610889260982,3778000,1281
1610889261149,3778000,1340
1610889261394,3778000,1139
1610889261549,3778000,1139
1610889261774,3778000,1078
1610889261971,3778000,814
1610889262112,3778000,966
1610889262382,3778000,1051
1610889262399,3778000,1051
1610889262803,3778000,1199
1610889262824,3778000,1199
1610889263141,3778000,1077
1610889263167,3778000,1197
1610889263480,3778000,1078
1610889263558,3778000,1115
1610889263861,3778000,1256
1610889263912,3778000,1256
1610889264286,3778000,975
1610889264285,3778000,975
1610889264702,3778000,1150
1610889264720,3778000,1150
1610889265090,3778000,1245
1610889265163,3778000,1245
1610889265490,3778000,999
1610889265552,3778000,999
1610889265899,3778000,1177
1610889265993,3778000,1235
1610889267422,3855000,857
1610889267480,3855000,857
1610889273313,3810000,865
1610889273319,3810000,865
1610889273623,3810000,1090
1610889273683,3810000,922
1610889278340,3827000,1085
1610889278584,3827000,980
1610889278676,3827000,1233
1610889289436,3817000,821
1610889289595,3817000,719
1610889293361,3778000,1243
1610889293534,3778000,981
1610889293794,3778000,1022
1610889293957,3778000,1407
1610889294167,3778000,1216
1610889294380,3778000,1253
1610889294598,3778000,1059
1610889294731,3778000,1138
1610889305135,3778000,446
1610889305245,3778000,446
1610889305589,3828000,900
1610889313090,3828000,142
1610889313478,3830000,1436
1610889313560,3640000,1370
1610889314072,3640000,1054
1610889314070,3640000,1054
1610889314503,3640000,1113
1610889314552,3640000,1113
1610889314891,3640000,1028
1610889314895,3640000,1028
1610889315287,3640000,1266
1610889315329,3640000,1266
1610889315693,3640000,1125
1610889315734,3640000,1125
1610889316015,3640000,1266
1610889316071,3640000,1266
1610889316378,3640000,1254
1610889316454,3640000,1254
1610889316744,3640000,1225
1610889316887,3640000,1263
1610889317110,3640000,1131
1610889317362,3640000,1273
1610889317638,3640000,851
1610889317712,3640000,851
1610889317924,3640000,1395
1610889318011,3640000,1395
1610889318248,3640000,1285
1610889318438,3640000,1283
1610889318713,3640000,970
1610889318949,3640000,1323
1610889319172,3707000,1453
